Name	Classify	Content	TimeStamp
nau.petshop	Phân loại hàng: Khăn lau kính	Xydjcjvjvicjxjxuxufufucififufifificfufifivivovovobkvl	2021-06-08 11:45
dochoigiare688	Phân loại hàng: Khăn lau kính	Dùng lau kính thì sạch thôi chứ chống mờ cũng ko ok lắm, thôi dùng lau kính cũng đc	2021-06-01 17:52
namechoosing	Phân loại hàng: Khăn lau kính	Tuy gói hàng ko đẹp lắm nhưng shop rất thân thiện giao hàng nhanh và còn có quà nữa :v	2021-06-03 11:22
funnykid18311	Phân loại hàng: Đen mờ	Gọng cũng được, hơi mỏng manh và hơi rộng so với mặt., phù hợp giá tiền. Vẫn vote shop 5 vì nhiệt tình	2021-03-20 18:34
thien_my19	Phân loại hàng: Đen Trắng	Hàng tốt. Giá so với giá trị của hàng thì khỏi phải bàn tốt hơn giá rất nhìu luôn ý. Shop de thương nữa	2021-03-19 16:22
thien_my19	Phân loại hàng: Đen Trắng	Hàng tốt. Giá so với giá trị của hàng thì khỏi phải bàn tốt hơn giá rất nhìu luôn ý. Shop de thương nữa	2021-03-19 16:22
kidi_0612	Phân loại hàng: Đen Trắng	Kính đẹp, kính đẹp nha cả nhà ui... giá lại rẻ. Thanks shop ❤️❤️❤️❤️❤️❤️	2021-02-25 19:24
lelinhhuong_131220	Phân loại hàng: Ghi hun	Kính rất ok kiểu dáng đẹp,xịn sò,có điều gọng kính k phải là gọng dẻo nếu là gọng dẽo sẽ thích hơn☺️nhưng k sao đẹp là được😉với cả chủ shop dễ thương 😘cho shop 5 sao	2021-03-08 12:46
tranhien1976	Phân loại hàng: Ghi hun	Kính đẹp giao hàng nhanh đóng gói rất cẩn thận, mình sẽ ủng hộ shop lần sau	2021-02-21 11:23
tranhien1976	Phân loại hàng: Ghi hun	Kính đẹp giao hàng nhanh đóng gói rất cẩn thận, mình sẽ ủng hộ shop lần sau	2021-02-21 11:23
trucmai050293	Phân loại hàng: Đen bóng		2021-02-01 20:36
aprilll204	Phân loại hàng: Ghi hun	Mắt kính gọn nhẹ, đeo lên nhìn xinh ai cũng hỏi chỗ mua giao hàng nhanh	2020-12-15 11:58
aprilll204	Phân loại hàng: Ghi hun	Mắt kính gọn nhẹ, đeo lên nhìn xinh ai cũng hỏi chỗ mua giao hàng nhanh	2020-12-15 11:58
huynhti121293	Phân loại hàng: Khăn lau kính	Giao hàng đúng,chất lượng ok.	2021-06-03 20:42
sodamila	Phân loại hàng: Đen Trắng	Kính đẹp, bóng, chắc chắn	2021-04-13 12:33
dungminhhai	Phân loại hàng: Đen Trắng	Gọng kính hơi lỏng lẻo, giao hàng nhanh	2021-04-16 08:43
nguyettran251285	Phân loại hàng: Đen Trắng	Hình ảnh mang tính chất nhận xu thôi ạ. Nhưng hàng rất đẹp mn nhé. Nên mua ạ!	2021-04-14 12:25
thanhtruc_105	Phân loại hàng: Ghi	Do mình mua ko đúng í nên có nhờ shop đổi hàng. Dù phải chịu ship nhưng shop tư vấn nhiệt tình, hết lòng cho khách hài lòng. Kính đẹp sịn,	2021-03-31 08:55
thanhtruc_105	Phân loại hàng: Ghi	Do mình mua ko đúng í nên có nhờ shop đổi hàng. Dù phải chịu ship nhưng shop tư vấn nhiệt tình, hết lòng cho khách hài lòng. Kính đẹp sịn,	2021-03-31 08:55
huynhti121293	Phân loại hàng: Khăn lau kính	Giao hàng đúng,chất lượng ok.	2021-06-03 20:42
sodamila	Phân loại hàng: Đen Trắng	Kính đẹp, bóng, chắc chắn	2021-04-13 12:33
dungminhhai	Phân loại hàng: Đen Trắng	Gọng kính hơi lỏng lẻo, giao hàng nhanh	2021-04-16 08:43
nguyettran251285	Phân loại hàng: Đen Trắng	Hình ảnh mang tính chất nhận xu thôi ạ. Nhưng hàng rất đẹp mn nhé. Nên mua ạ!	2021-04-14 12:25
thanhtruc_105	Phân loại hàng: Ghi	Do mình mua ko đúng í nên có nhờ shop đổi hàng. Dù phải chịu ship nhưng shop tư vấn nhiệt tình, hết lòng cho khách hài lòng. Kính đẹp sịn,	2021-03-31 08:55
thanhtruc_105	Phân loại hàng: Ghi	Do mình mua ko đúng í nên có nhờ shop đổi hàng. Dù phải chịu ship nhưng shop tư vấn nhiệt tình, hết lòng cho khách hài lòng. Kính đẹp sịn,	2021-03-31 08:55
huynhti121293	Phân loại hàng: Khăn lau kính	Giao hàng đúng,chất lượng ok.	2021-06-03 20:42
sodamila	Phân loại hàng: Đen Trắng	Kính đẹp, bóng, chắc chắn	2021-04-13 12:33
dungminhhai	Phân loại hàng: Đen Trắng	Gọng kính hơi lỏng lẻo, giao hàng nhanh	2021-04-16 08:43
nguyettran251285	Phân loại hàng: Đen Trắng	Hình ảnh mang tính chất nhận xu thôi ạ. Nhưng hàng rất đẹp mn nhé. Nên mua ạ!	2021-04-14 12:25
thanhtruc_105	Phân loại hàng: Ghi	Do mình mua ko đúng í nên có nhờ shop đổi hàng. Dù phải chịu ship nhưng shop tư vấn nhiệt tình, hết lòng cho khách hài lòng. Kính đẹp sịn,	2021-03-31 08:55
